overbust,bust,underbust,natural waist,waist,low waist,hip,gender,study
93.8,97.0,81.7,76.5,,90.1,104.4,Cis woman,ANSUR (1988)
102.2,104.6,84.5,90.8,,94.4,108.1,Cis woman,ANSUR (1988)
84.1,85.2,71.2,64.5,,67.1,87.6,Cis woman,ANSUR (1988)
87.8,87.6,74.6,70.0,,70.2,89.4,Cis woman,ANSUR (1988)
91.7,96.5,78.0,78.7,,85.6,104.4,Cis woman,ANSUR (1988)
78.0,76.7,70.7,63.7,,70.3,85.0,Cis woman,ANSUR (1988)
89.6,90.1,78.7,77.5,,90.5,99.7,Cis woman,ANSUR (1988)
86.8,89.2,76.6,71.0,,77.5,97.0,Cis woman,ANSUR (1988)
83.9,82.3,73.6,67.9,,70.5,86.8,Cis woman,ANSUR (1988)
86.4,86.6,69.9,65.1,,69.4,91.2,Cis woman,ANSUR (1988)
92.6,92.4,79.2,75.6,,83.7,105.3,Cis woman,ANSUR (1988)
88.4,88.5,77.6,66.1,,69.2,89.7,Cis woman,ANSUR (1988)
89.3,91.9,74.3,70.8,,76.8,95.1,Cis woman,ANSUR (1988)
81.5,86.1,71.8,66.2,,72.9,91.1,Cis woman,ANSUR (1988)
97.8,102.2,86.4,93.4,,92.1,108.5,Cis woman,ANSUR (1988)
83.5,85.5,69.1,65.1,,73.7,97.0,Cis woman,ANSUR (1988)
82.6,85.4,73.7,68.7,,75.8,93.4,Cis woman,ANSUR (1988)
89.6,90.5,74.8,76.5,,79.6,93.9,Cis woman,ANSUR (1988)
88.9,89.4,74.6,72.9,,80.3,95.9,Cis woman,ANSUR (1988)
85.6,88.8,75.0,71.3,,73.1,93.4,Cis woman,ANSUR (1988)
83.5,84.2,72.2,66.4,,73.8,86.2,Cis woman,ANSUR (1988)
90.8,90.7,80.2,74.9,,77.4,99.9,Cis woman,ANSUR (1988)
96.5,95.8,82.6,83.6,,86.7,96.6,Cis woman,ANSUR (1988)
83.2,91.4,71.4,73.2,,82.3,87.4,Cis woman,ANSUR (1988)
